date,PC-1(cum_var=0.863),PC-2(cum_var=0.915),PC-3(cum_var=0.947),PC-4(cum_var=0.968),PC-5(cum_var=0.981),PC-6(cum_var=0.988),PC-7(cum_var=0.991)
2014-08-01,-14.588522466425419,0.29500588234811537,3.9662944228119184,-1.677729446882279,1.3764700480528844,-0.22744169291236793,-0.28682113286512345
2014-09-01,-14.432936607000949,0.35428307821521954,3.7232130856530765,-1.6488630997915785,1.2795974181546064,-0.3009351179088892,-0.366774658763466
2014-10-01,-14.305233287546018,0.40659468809415295,3.4666914462553065,-1.5823044939932625,1.3079724878703352,-0.23968116889812693,-0.5058268058463827
2014-11-01,-14.165257632692253,0.33125042858251325,3.1939238671707004,-1.5949134351382142,1.2802351626203061,-0.26226005743271447,-0.5456070358714543
2014-12-01,-13.931186946851035,0.3265937853491449,2.994190801507384,-1.5186412855776301,1.0092314601053751,-0.22586875318453375,-0.5209297787728201
2015-01-01,-13.64764834341821,0.3598219387562735,2.638315140518317,-1.280608122442204,0.8050660311890379,-0.06605556582120954,-0.7159417247944475
2015-02-01,-13.35855894035688,0.2921107645179995,2.3797482460602235,-1.098508958876944,0.4565412069139007,0.0801960118372291,-0.5061975876329947
2015-03-01,-13.184087915112555,0.300070791699949,2.117918274653459,-1.0701689492799713,0.10699908659310559,0.08523414407295347,-0.41698714988145485
2015-04-01,-12.416872881095815,0.006630653587828415,2.0112105668706857,-1.2391457347858086,0.2245489094129702,0.060886641993019436,0.4109451750079707
2015-05-01,-12.053306376169568,0.0588902053525319,1.8338377961816277,-0.9427892494399497,0.021562822856387432,-0.0037137589808497184,0.4804497653428654
2015-06-01,-11.699363386842101,0.00701820022038637,1.652160442698012,-0.6485982484664718,-0.1122620451608892,0.06276302921641723,0.6289279531823573
2015-07-01,-11.187871390818158,-0.25440571973065146,1.3286349294115263,-0.2740103117082189,-0.21051010411112148,0.04081417651240995,0.7084090821370824
2015-08-01,-10.763123379359936,-0.2114611262215697,1.1937784512421195,0.0428759106093705,-0.36673586887439696,0.06234141149610903,0.7680494000091224
2015-09-01,-10.530942415105892,-0.2030571453774762,0.9541305805830254,0.19764871712796903,-0.34343592271852974,0.05290918008828541,0.7018716723506708
2015-10-01,-10.345622966090524,-0.22888118792236983,0.6200912669526473,0.07777133333177429,-0.4220577148434703,-0.06008953057910021,0.5819056087778008
2015-11-01,-10.006473661601182,-0.23383380676712007,0.5787725425556076,0.4700172936644252,-0.32613788487493506,0.03807192274877101,0.6353775197072804
2015-12-01,-9.725341705804436,-0.48790643990089877,0.35337250597809317,0.588166583188822,-0.42967449518364575,0.02234150096149678,0.7448745602059798
2016-01-01,-9.214300104477196,-0.17011375319174082,0.03186499040126053,0.8390490297180769,-0.6624130391270384,-0.04634130307585187,0.3327522581691295
2016-02-01,-8.999302846880934,-0.17810979261883386,-0.07098350429908742,1.0742357628362451,-0.6366046039274779,0.026284413121138956,0.30543907805769294
2016-03-01,-8.59868109366742,-0.33291910271583974,-0.2585836837133093,1.3790448171853402,-0.6343728558085077,-0.048395873411086934,0.2926779372597136
2016-04-01,-7.975007827756921,-0.4076640657507073,-0.4342777609933779,0.8734084767656415,-0.5661276957259153,-0.039454310309420926,0.7894628421945399
2016-05-01,-7.5784248689832685,-0.5917179433753693,-0.38740158610838593,1.2219939797367405,-0.36016994972740846,-0.09755853968025524,0.7325921687601887
2016-06-01,-7.21144701325714,-0.7367751730887793,-0.32283328248831533,1.4209489935638293,-0.16814597126129271,-0.21063029384862647,0.6939706473586752
2016-07-01,-6.831765008707152,-0.8631674582827599,-0.36308714471384396,1.5970802386224374,-0.22954954912001638,-0.5234859438063305,0.7182412077743986
2016-08-01,-6.574275530195906,-0.8807032825929215,-0.4023291542665062,1.6024337808057587,-0.1612242925444914,-0.372866424636615,0.42204646169367127
2016-09-01,-6.462099471525372,-1.0126156706139084,-0.5293345956172052,1.519578648018325,-0.25854239015496056,-0.18123356297090398,0.24922453356709304
2016-10-01,-6.407649187401882,-1.0169940939364832,-0.45186806746030067,1.8037115085289255,-0.05285557605000807,0.18088582073754772,0.015043840569788434
2016-11-01,-6.111047971566358,-1.201445852433108,-0.5610398130210594,1.6430657927459633,-0.19577803502549251,0.08923637665704691,-0.07126179202356699
2016-12-01,-5.850400631475312,-1.5109598284231447,-0.719891142004133,1.244741122451068,-0.46140429482076645,-0.23976356669238547,-0.07315953196173264
2017-01-01,-5.513592072956882,-1.3655263807892213,-0.9885081085328622,1.1478303183039864,-0.2814723316098733,-0.358067475228806,-0.9270202514412823
2017-02-01,-5.2516458106132715,-1.4919249910515882,-0.8896880050225664,1.1685514983574077,-0.14541715910272676,-0.38805741391439585,-0.9639800827914917
2017-03-01,-5.203789457139417,-1.445205957085266,-1.016706843016555,1.1450185200575342,0.0225098445036744,-0.2720127654327135,-1.2448097959713034
2017-04-01,-4.302899768528365,-1.7197455064526208,-1.1131530889563808,0.9002694405779754,0.4006949015731222,-0.16062077336732006,-0.43579745403901626
2017-05-01,-3.96076458922967,-1.8036358019078618,-1.0954453729159577,1.036626012599772,0.3054617875788093,-0.15920357277846564,-0.3489433258261081
2017-06-01,-3.6334150953978597,-1.9426853506608832,-1.1352622877633671,1.1128025945377187,0.3205227603745529,-0.2039657390894826,-0.35458805961846257
2017-07-01,-3.2315359788028495,-2.0482143647828157,-1.269947830226431,1.2921028728135708,0.1832721808199581,-0.27550976156912543,-0.3531417166508223
2017-08-01,-2.8981589439706132,-2.1549967862103445,-1.1805274139877553,1.2029303133511235,0.05885560166991746,-0.39082060517867895,-0.257826534213776
